position;restaurants;ratings;number_reviews;price_category;food_category
283;Taberna la Raiz;4.0;176; ;
284;La Bodeguita de Carlos;4.0;130;€€ - €€€;Marisco,Mediterránea,Española
285;Kompas 15 Gastroburguer;4.5;54; ;
286;Almacen del Indiano;4.5;68;€€ - €€€;Española,Vinoteca
287;Vista Suiza 2;4.0;133;€€ - €€€;Mediterránea,Española,Opciones vegetarianas,Opciones sin gluten
288;De Sancha;4.5;63;€€ - €€€;Mediterránea,Europea,Española,Opciones vegetarianas
289;Noviembre;4.0;884;€€ - €€€;Americana,Mediterránea,Europea,Española,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
290;La Parada;4.5;75;€;China,Opciones vegetarianas
291;Cafe de Estraperlo;5.0;38;€;Bar,Café,Internacional
292;Casa de Botes;4.0;218;€€ - €€€;Marisco,Mediterránea,Española
293;El Rengue;4.0;123;€€ - €€€;Mediterránea,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
294;Mucha;4.0;117;€€ - €€€;Italiana,Francesa,Cajún y criolla,Checa,Mediterránea,Española,Internacional,Europea,Opciones vegetarianas,Opciones sin gluten
295;Picnic Soho;4.0;143;€€ - €€€;Americana,Bar,Café,Pub,Opciones vegetarianas,Opciones veganas
296;Marmita Bares;4.0;317;€€ - €€€;Española,Pub restaurante,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
297;Café Central;3.5;745;€€ - €€€;Bar,Café,Mediterránea,Europea,Española,Opciones vegetarianas
298;Eguzki bar malaga;4.5;77;€€ - €€€;Mediterránea,Española
299;El Tintero II;3.5;1796;€€ - €€€;Marisco,Mediterránea,Española
300;Mercado Merced;4.0;290;€€ - €€€;Española
301;Restaurante ryugin asiático;4.0;145;€€ - €€€;China,Japonesa,Sushi,Asiática,Opciones vegetarianas,Opciones veganas
302;Los Pueblos;4.0;120;€;Bar,Mediterránea,Española,Europea,Opciones vegetarianas
303;Restaurante El Pino Rojo;4.5;62;€€ - €€€;Mediterránea,Europea,Internacional
304;La Barra;4.0;293;€€ - €€€;Mediterránea,Española,Opciones vegetarianas
305;Ramen Nogacu;4.0;117;€;Japonesa,Asiática,Sopas,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
306;De Cai;4.5;76;€€ - €€€;Mediterránea,Española,Tienda gourmet
307;Marisqueria el cenachero;4.0;132;€€ - €€€;Marisco
308;Las Papas del Museo;4.0;150;€;Comida rápida,Mediterránea,Española,Opciones vegetarianas
309;Bar Jamones;5.0;36;€€ - €€€;Mediterránea,Española
310;Café Bar Arriate;4.5;59;€;Mediterránea,Fusión,Saludable,Española
311;La Taberna del Fraile;4.0;95;€€ - €€€;Mediterránea,Europea,Española
312;Restaurante japones kaede;4.0;102;€€ - €€€;Japonesa,Sushi,Asiática,Opciones vegetarianas,Opciones veganas
313;The Golden Stack;4.5;57;€;Americana,Comida rápida,Opciones vegetarianas,Opciones sin gluten
314;Depaso Shawarmas Gourmet;4.5;66;€;Comida rápida,De Oriente Medio,Árabe,Halal
315;El Chinitas;3.5;420;€€ - €€€;Bar,Marisco,Mediterránea,Española,Opciones vegetarianas
316;La Pera Cafe Gastrobar;4.5;40;€;Bar,Café,Mediterránea,Española,Fusión
317;Canela Fina;4.0;345;€€ - €€€;Marisco,Española,Opciones vegetarianas,Opciones sin gluten
318;ROCIO TAPAS Y SUSHI;4.0;319;€€ - €€€;Marisco,Sushi,Europea,Japonesa,Asiática,Opciones vegetarianas
319;Meson Lo Gueno de Strachan;4.0;486;€€ - €€€;Mediterránea,Europea,Española,Opciones vegetarianas
320;El panino;4.5;66; ;Italiana
321;Casa de Botes Centro;4.5;63;€€ - €€€;Marisco
322;L'atelier Clandestino Gourmet;4.0;448;€€ - €€€;Asador,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
323;Chloe Bar;5.0;90; ;
324;El Café de Bolsa;4.0;159;€€ - €€€;Mediterránea,Europea,Española,Opciones vegetarianas,Opciones sin gluten
325;Restaurante Antonio Moreno;4.5;98;€€ - €€€;Marisco,Mediterránea,Española,Barbacoa
326;Noodles and Go;4.0;178;€;Comida rápida,Asiática,Tailandesa,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
327;Taberna La Malagueña;4.0;273;€€ - €€€;Mediterránea,Europea,Española,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
328;PadThaiWok Málaga - Teatinos;4.0;198;€€ - €€€;Asiática,Tailandesa,Saludable
329;Ristorante Pizzeria Il Pomodoro;4.0;102;€€ - €€€;Italiana,Pizza,Europea,Opciones vegetarianas,Opciones veganas
330;Majao Tapas;4.5;81;€€ - €€€;Internacional,Española,Tienda gourmet,Mediterránea,Opciones veganas
331;El Txoko de Luis Salinero Málaga;4.5;37;€€ - €€€;Española,Tienda gourmet
332;Oleaje Restaurante;4.5;45;€€ - €€€;Mediterránea,Española,Opciones vegetarianas,Opciones sin gluten
333;Taberna Don Leon;4.0;77;€€ - €€€;Bar,Mediterránea,Europea,Española,Opciones vegetarianas
334;La Reserva del Pastor;4.0;303;€€ - €€€;Mediterránea,Europea,Española,Opciones vegetarianas,Opciones sin gluten
335;Restaurante Valparaiso Mijas;4.5;100;€€€€;Mediterránea,Italiana,Europea,Opciones vegetarianas,Opciones sin gluten
336;Meson La Estancia;4.5;61;€€ - €€€;Tienda gourmet,Opciones vegetarianas
337;Restaurante Los Pinos Del Coto;4.0;161;€€ - €€€;Española,Internacional
338;The good sushi;4.0;80; ;Japonesa
339;Restaurante Rompeolas;4.0;152;€€ - €€€;Mediterránea,Marisco,Europea,Española,Opciones vegetarianas
340;El Restaurante del Candado Golf Javier Hernandez;4.5;70;€€ - €€€;Internacional,Opciones vegetarianas,Opciones veganas
341;Casa Manuel de La Lonja;4.5;118;€€ - €€€;Marisco,Mediterránea,Barbacoa,Europea,Española,Opciones vegetarianas
342;DeHuelva;4.5;61;€€ - €€€;Marisco
343;Manana Bar Malaga;4.5;125;€;Pub
344;Treetops;4.5;40;€€ - €€€;Café,Europea,Mediterránea,Opciones vegetarianas,Opciones veganas
345;La Salita;5.0;24;€€ - €€€;Española
346;La Pica de los Compadres;4.0;96;€€ - €€€;Marisco,Mediterránea
347;El Ambigú de la Coracha;4.5;84;€€ - €€€;Internacional,Mediterránea,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
348;Virguerias;4.5;73;€€ - €€€;Asador,Española,Argentina,Europea
349;Restaurante Tunante;4.0;183;€€ - €€€;Japonesa,Sushi,Opciones vegetarianas,Opciones sin gluten
350;El Gato con Bota Tapas & Drinks;4.0;136;€€ - €€€;Marroquí,Mediterránea,Europea,Española,Opciones vegetarianas,Opciones veganas
351;La Vinoteca de Moreno;5.0;22;€€ - €€€;Italiana,Mediterránea,Española,Fusión,Vinoteca
352;Casa Juan;4.0;129;€€ - €€€;Bar,Marisco,Opciones sin gluten
353;Kirei Valeria;4.0;102;€€€€;Japonesa,Sushi,Asiática,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
354;Marisqueria La Cantina;4.5;84;€€ - €€€;Marisco,Mediterránea
355;Meson Santiago Sedeno;4.0;109;€€ - €€€;Marisco,Mediterránea,Española
356;Pitta Bar;4.0;102;€;Marroquí,Mediterránea,De Oriente Medio,Libanesa,Turca,Halal,Opciones vegetarianas,Opciones veganas
357;TapeArte;4.5;88;€€ - €€€;Española,Tienda gourmet,Opciones vegetarianas
358;La Mesonera;4.5;104;€;Bar,Mediterránea,Europea,Española,Opciones vegetarianas
359;Cantina El Calambrito;4.0;218;€€ - €€€;Mexicana,Latina,Centroamericana,Opciones vegetarianas,Opciones veganas
360;El Trillo Malaga;4.0;655;€€ - €€€;Mediterránea,Europea,Española,Opciones vegetarianas,Opciones sin gluten
361;Taberna El Mentidero;3.5;346;€€ - €€€;Marisco,Mediterránea,Española,Opciones vegetarianas,Opciones sin gluten
362;Casa Kiki;4.5;63; ;
363;CAN EMMA Gastroteca;4.5;38;€€ - €€€;Internacional,Mediterránea,Española,Opciones vegetarianas
364;Vermouth Brasas y Copas;4.5;58;€€ - €€€;Mediterránea,Barbacoa,Española,Opciones vegetarianas
365;Heladeria Mont Blanc;4.5;46; ;
366;Anca Er Mejillon;4.5;57; ;
367;La Malaguena;4.0;109;€;Mediterránea,Europea,Española,Opciones veganas,Opciones vegetarianas
368;Ro Burger;5.0;22;€€ - €€€;Italiana,Americana,Argentina,Sudamericana,Opciones vegetarianas,Opciones veganas
369;O'labo;5.0;31;€€ - €€€;Francesa,Mediterránea,Europea,Española
370;El merendero de Antonio Martín;3.5;314;€€ - €€€;Española,Marisco,Mediterránea
371;Gran Sushi;4.5;58;€€ - €€€;Japonesa,Opciones vegetarianas
372;El Rescoldo;3.5;630;€€ - €€€;Marisco,Mediterránea,Europea,Española,Opciones vegetarianas,Opciones sin gluten
373;Taberna Laperica;4.5;39;€;Bar,Mediterránea,Española
374;La Viuda;4.5;55;€€ - €€€;Mediterránea,Europea,Española,Marisco
375;Malena Restaurante;4.5;58;€€ - €€€;Argentina
376;Cafeteria Bar Mercado de El Carmen;4.0;143;€€ - €€€;Mediterránea,Española,Marisco
377;Buni;4.5;47;€€ - €€€;Americana,Asador,Opciones vegetarianas
378;Restaurante Hermanos Alba;4.5;108;€€ - €€€;Marisco,Mediterránea,Opciones vegetarianas,Opciones sin gluten
379;Chiringuito Maria;3.5;247;€€ - €€€;Marisco,Mediterránea,Europea,Española,Opciones vegetarianas
380;Cerveceria la surena;3.5;226;€;Bar,Comida rápida,Mediterránea,Española
381;Muelle 1;4.5;45;€€ - €€€;Española
382;Chiringuito Litoral Sacaba;4.0;190;€€ - €€€;Marisco,Mediterránea,Española
383;Marisqueria Playa;4.5;75;€€ - €€€;Marisco,Mediterránea
384;Hamburgueseria Eladio Campero;4.0;102; ;
385;Calle de Bruselas;4.0;146; ;
386;La Parrilla Delicatessen;4.0;128;€€ - €€€;Mediterránea,Europea,Española,Asador,Opciones vegetarianas,Opciones sin gluten
387;Pizzeria Angolo Italiano;5.0;46;€;Pizza,Opciones vegetarianas
388;Marisqueria la Luz;4.5;57; ;
389;Restaurante Hermanos Munoz;4.0;104;€;Marisco,Mediterránea,Española
390;Chiringuito Servando;3.5;322;€€ - €€€;Marisco,Mediterránea,Europea,Española
391;Restaurant Tormes;4.0;134;€€ - €€€;Mediterránea,Europea,Española,Opciones vegetarianas
392;Taperia La Tita Mari;4.5;27;€;Mediterránea,Española,Opciones vegetarianas
393;Restaurante Pizzeria Gepetto's;4.5;66;€;Italiana,Americana,Pizza
394;Málaga Fussión Perchel;5.0;43; ;
395;La Reserva del Olivo;3.5;606;€€ - €€€;Mediterránea,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
396;El Pórtico de Teatinos;4.5;50;€€ - €€€;Española
397;Almijara;4.5;99;€;Española
398;El Caleño;4.5;36; ;
399;Bar Picasso;4.0;448;€;Bar,Mediterránea,Española,Europea,Opciones vegetarianas
400;Rucua Gastrobar;4.5;51;€;Mediterránea,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
401;Rima Bar;4.5;51;€;Europea,Británica,Opciones vegetarianas
402;Chiringuito De Mami;4.0;162;€;Barbacoa,Europea,Española,Opciones vegetarianas
403;Kalua Helado Artesanal;4.5;44; ;
404;Desal;5.0;54;€;Café,Mediterránea,Europea,Española,Opciones vegetarianas,Opciones veganas,Opciones sin gluten
405;Cattabia;4.5;92;€€ - €€€;Española,Asiática,Opciones vegetarianas
